City,Lat,Lngs,Temp,Humidity,Cloudiness,Wind Speed
horadiz,39.45,47.34,41,93,90,4.7
svetlyy,54.67,20.13,33.8,82,40,6.71
cabedelo,-6.98,-34.83,77,78,40,4.7
norden,53.6,7.2,38.14,100,12,5.82
altay,47.87,88.12,22.35,78,14,3.31
manyana,-23.4,21.72,73.69,58,26,3.89
bongandanga,1.5,21.05,71.46,93,99,1.63
porto novo,6.5,2.6,77.47,87,95,4.59
akcakoca,41.09,31.12,48.61,50,0,4.41
merida,20.97,-89.62,75.6,88,75,5.82
pafos,34.77,32.42,55.4,71,20,9.17
labuan,5.28,115.24,82.2,78,40,9.17
vaitape,-16.52,-151.75,82.33,69,46,1.01
narva-joesuu,59.46,28.04,36.55,82,97,14.43
woodway,31.51,-97.2,56.32,67,90,8.05
itacoatiara,-3.14,-58.44,75.33,91,45,1.52
qui nhon,13.77,109.23,76.19,89,100,25.26
fairbanks,64.84,-147.72,13.14,85,75,4.23
beatrice,40.27,-96.75,34.95,69,1,5.82
